code,country,population,remittance2017,gdp2016
AFG,Afghanistan,5055219,409.53,19215562179.00
ALB,Albania,1194524,1381.87,11335264967.00
DZA,Algeria,1833302,2092.67,166000000000.00
ASM,American Samoa,3583,,659000000.00
AND,Andorra,8381,,2811489409.00
AGO,Angola,661595,4.23,103000000000.00
ATG,Antigua and Barbuda,73491,30.99,1364863037.00
ARG,Argentina,996100,688.15,585000000000.00
ARM,Armenia,968686,1539,10553337673.00
ABW,Aruba,19785,7.72,
AUS,Australia,579912,1940.54,1350000000000.00
AUT,Austria,510455,2933.83,382000000000.00
AZE,Azerbaijan,1215260,1050.25,53074370486.00
BHS,Bahamas. The,44350,,11240000000.00
BHR,Bahrain,63689,,31125851064.00
BGD,Bangladesh,7796958,13469.45,195000000000.00
BRB,Barbados,100113,111.75,4584150000.00
BLR,Belarus,1646080,1200,56454734397.00
BEL,Belgium,561750,10273,455000000000.00
BLZ,Belize,58687,88.66,1742545900.00
BEN,Benin,657594,266.3,8290986804.00
BMU,Bermuda,16735,1478.15,
BTN,Bhutan,47077,40.1,2059258653.00
BOL,Bolivia,880525,1341.23,33000198263.00
BIH,Bosnia and Herzegovina,1638113,2009.92,16209702864.00
BWA,Botswana,82914,20.35,14430573505.00
BRA,Brazil,1708083,2698.79,1800000000000.00
BRN,Brunei Darussalam,47462,0,12930394938.00
BGR,Bulgaria,1475224,2223.54,50199117547.00
BFA,Burkina Faso,1518063,444.31,10419303761.00
BDI,Burundi,466962,33.51,3066681387.00
CPV,Cabo Verde,237921,221.8,1574288668.00
KHM,Cambodia,1114226,386.29,18049954289.00
CMR,Cameroon,400165,277.97,30916218544.00
CAN,Canada,1276770,1340.35,1560000000000.00
CYM,Cayman Islands,5320,0,
CAF,Central African Republic,728216,0,1583776760.00
TCD,Chad,411961,0,10888798114.00
CHI,Channel Islands,26639,,
CHL,Chile,628656,104.18,243000000000.00
CHN,China,10060253,63859.75,11100000000000.00
COL,Colombia,2750889,5636.37,292000000000.00
COM,Comoros,117846,138.39,565689764.60
COD,Congo. Dem. Rep.,1849863,17.12,37917704900.00
COG,Congo. Rep.,292508,0,8553154580.00
CRI,Costa Rica,143285,562.07,54840103850.00
CIV,Cote d'Ivoire,1065361,379.29,33145096414.00
HRV,Croatia,1057021,2306.79,48921877448.00
CUB,Cuba,1598975,0,87132800000.00
CUW,Curacao,75139,160.28,
CYP,Cyprus,179283,334.85,19676167240.00
CZE,Czech Republic,484685,3657.87,187000000000.00
DNK,Denmark,259282,1344.4,301000000000.00
DJI,Djibouti,18082,62.14,1727000000.00
DMA,Dominica,73955,58.66,535095846.30
DOM,Dominican Republic,1497952,6190.5,68102618092.00
ECU,Ecuador,1100472,2848,99290381000.00
EGY,Egypt. Arab Rep.,3444832,19982.66,333000000000.00
SLV,El Salvador,1559934,5050.51,26052340000.00
GNQ,Equatorial Guinea,133910,0,12597210658.00
ERI,Eritrea,645445,0,
EST,Estonia,201868,559.33,22566956982.00
ETH,Ethiopia,847712,815.5,64464547915.00
FLK,Faeroe Islands,16207,167.64,
FJI,Fiji,209685,85.7,4391113415.00
FIN,Finland,292426,821.11,232000000000.00
FRA,France,2207397,25372.38,2430000000000.00
PYF,French Polynesia,4029,589.28,
GAB,Gabon,83129,0,14262032471.00
GMB,Gambia. The,106525,215.65,907652509.50
GEO,Georgia,875753,1794,13993546732.00
DEU,Germany,4142199,16833.33,3380000000000.00
GHA,Ghana,865204,2190.3,37543361204.00
GRC,Greece,1000070,318.96,196000000000.00
GRL,Greenland,20948,0,2220380802.00
GRD,Grenada,69096,1.23,997007925.90
GUM,Guam,2774,0,5697000000.00
GTM,Guatemala,1071030,8539.81,63767597194.00
GIN,Guinea,467933,55.22,8767143623.00
GNB,Guinea-Bissau,106901,103.56,1036130507.00
GUY,Guyana,461812,275.28,3197225182.00
HTI,Haiti,1292950,2459.04,8724656126.00
HND,Honduras,790990,4322.4,20844284855.00
HKG,Hong Kong SAR. China,1059439,429.87,309000000000.00
HUN,Hungary,705169,4692.23,123000000000.00
ISL,Iceland,39876,171.91,16942247374.00
IND,INDIA,16444830,68968.1,2090000000000.00
IDN,Indonesia,4247814,8997.28,861000000000.00
